Player,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,HOF,GP,G,A,P
Paul Kariya,L,L,1974-10-16,Vancouver,BC,CAN,CAN,70,185,1993,1,4,19941995,Y,75,18,25,43
Erik Karlsson,R,D,1990-05-31,Landsbro,--,SWE,SWE,72,190,2008,1,15,20092010,N,783,141,482,623
Melker Karlsson,R,C,1990-07-18,Lycksele,--,SWE,SWE,72,180,--,--,--,20142015,N,396,60,52,112
William Karlsson,L,C,1993-01-08,Marsta,--,SWE,SWE,72,191,2011,2,53,20142015,N,460,114,150,264
David Kase,L,R,1997-01-28,Kadan,--,CZE,CZE,71,169,2015,5,128,20192020,N,7,1,0,1
Ondrej Kase,R,R,1995-11-08,Kadan,--,CZE,CZE,72,190,2014,7,205,20162017,N,206,43,54,97
Matt Kassian,L,L,1986-10-28,Edmonton,AB,CAN,CAN,76,240,2005,2,57,20102011,N,76,4,1,5
Zack Kassian,R,R,1991-01-24,Windsor,ON,CAN,CAN,75,211,2009,1,13,20112012,N,552,84,98,182
Mark Katic,L,D,1989-05-09,Porcupine,ON,CAN,CAN,70,191,2007,3,62,20102011,N,11,0,1,1
Martin Kaut,R,R,1999-10-02,Brno,--,CZE,CZE,74,190,2018,1,16,20192020,N,14,2,1,3
Bracken Kearns,L,C,1981-05-12,North Vancouver,BC,CAN,CAN,72,200,--,--,--,20112012,N,35,3,3,6
Brady Keeper,R,D,1996-06-05,Cross Lake,MB,CAN,CAN,74,197,--,--,--,20182019,N,2,0,0,0
Duncan Keith,L,D,1983-07-16,Winnipeg,MB,CAN,CAN,73,192,2002,2,54,20052006,N,868,74,423,497
Clayton Keller,L,R,1998-07-29,Chesterfield,MO,USA,USA,70,170,2016,1,7,20162017,N,289,68,125,193
Ryan Keller,R,R,1984-01-06,Saskatoon,SK,CAN,CAN,70,196,--,--,--,20092010,N,6,0,0,0
Joel Kellman,L,C,1994-05-25,Karlskrona,--,SWE,SWE,71,192,--,--,--,20192020,N,38,4,5,9
Chris Kelly,L,C,1980-11-11,Toronto,ON,CAN,CAN,72,190,1999,3,94,20032004,N,520,75,95,170
Adrian Kempe,L,C,1996-09-13,Kramfors,--,SWE,SWE,74,201,2014,1,29,20162017,N,305,55,76,131
Mario Kempe,L,R,1988-09-19,Kramfors,--,SWE,SWE,72,185,2007,5,122,20172018,N,70,6,7,13
Michal Kempny,L,D,1990-09-08,Hodonin,--,CZE,CZE,73,195,--,--,--,20162017,N,232,14,47,61
Joonas Kemppainen,L,C,1988-04-07,Kajaani,--,FIN,FIN,75,223,--,--,--,20152016,N,44,2,3,5
Ronalds Kenins,L,L,1991-02-28,Riga,--,LVA,LVA,72,201,--,--,--,20142015,N,38,4,8,12
Tim Kennedy,L,L,1986-04-30,Buffalo,NY,USA,USA,70,175,2005,6,181,20082009,N,161,15,24,39
Tyler Kennedy,R,C,1986-07-15,Sault Ste. Marie,ON,CAN,CAN,71,185,2004,4,99,20072008,N,405,64,97,161
Michael Keranen,L,L,1990-01-04,Stockholm,--,SWE,FIN,73,170,--,--,--,20152016,N,1,0,0,0
Nicolas Kerdiles,L,L,1994-01-11,Lewisville,TX,USA,USA,74,200,2012,2,36,20162017,N,3,0,0,0
Alexander Kerfoot,L,C,1994-08-11,Vancouver,BC,CAN,CAN,70,185,2012,5,150,20172018,N,274,51,83,134
Tanner Kero,L,C,1992-07-24,Hancock,MI,USA,USA,72,180,--,--,--,20152016,N,107,11,20,31
Ryan Kesler,R,C,1984-08-31,Livonia,MI,USA,USA,74,206,2003,1,23,20032004,N,681,193,240,433
Phil Kessel,R,R,1987-10-02,Madison,WI,USA,USA,72,202,2006,1,5,20062007,N,896,323,450,773
Jujhar Khaira,L,L,1994-08-13,Surrey,BC,CAN,CAN,76,212,2012,3,63,20152016,N,251,24,39,63
Alex Khokhlachev,L,C,1993-09-09,Moscow,--,RUS,RUS,70,181,2011,2,40,20132014,N,9,0,0,0
Matt Kiersted,L,D,1998-04-14,Elk River,MN,USA,USA,72,181,--,--,--,20202021,N,7,0,0,0
Alex Killorn,L,L,1989-09-14,Halifax,NS,CAN,CAN,73,199,2007,3,77,20122013,N,637,145,195,340
Jakub Kindl,L,D,1987-02-10,Sumperk,--,CZE,CZE,75,199,2005,1,19,20092010,N,331,16,58,74
DJ King,L,L,1984-06-27,Meadow Lake,SK,CAN,CAN,75,231,2002,6,190,20062007,N,29,0,2,2
Dwight King,L,L,1989-07-05,Meadow Lake,SK,CAN,CAN,76,229,2007,4,109,20102011,N,365,53,56,109
Bogdan Kiselevich,L,D,1990-02-14,Cherepovets,--,RUS,RUS,72,202,--,--,--,20182019,N,32,0,8,8
Joel Kiviranta,L,L,1996-03-23,Vantaa,--,FIN,FIN,71,180,--,--,--,20192020,N,33,5,4,9
Linus Klasen,L,L,1986-02-19,Stockholm,--,SWE,SWE,68,176,--,--,--,20102011,N,4,0,0,0
Oscar Klefbom,L,D,1993-07-20,Karlstad,--,SWE,SWE,75,216,2011,1,19,20132014,N,378,34,122,156
Kevin Klein,R,D,1984-12-13,Kitchener,ON,CAN,CAN,73,206,2003,2,37,20052006,N,546,33,106,139
Anton Klementyev,R,D,1990-03-25,Togliatti,--,RUS,RUS,73,198,2009,5,121,20092010,N,1,0,0,0
Rostislav Klesla,L,D,1982-03-21,Novy Jicin,--,CZE,CZE,75,215,2000,1,4,20002001,N,215,12,32,44
Morgan Klimchuk,L,L,1995-03-02,Regina,SK,CAN,CAN,72,185,2013,1,28,20172018,N,1,0,0,0
Carl Klingberg,R,L,1991-01-28,Gothenburg,--,SWE,SWE,75,205,2009,2,34,20102011,N,12,1,0,1
John Klingberg,R,D,1992-08-14,Gothenburg,--,SWE,SWE,75,190,2010,5,131,20142015,N,474,65,259,324
Rob Klinkhammer,L,L,1986-08-12,Lethbridge,AB,CAN,CAN,75,214,--,--,--,20102011,N,193,22,21,43
Justin Kloos,R,C,1993-11-30,Lakeville,MN,USA,USA,70,175,--,--,--,20172018,N,2,0,0,0
Corban Knight,R,C,1990-09-10,Oliver,BC,CAN,CAN,74,195,2009,5,134,20132014,N,52,4,8,12
Mike Knuble,R,R,1972-07-04,Toronto,ON,CAN,USA,75,229,1991,4,76,19961997,N,248,63,56,119
Nikolai Knyzhov,L,D,1998-03-20,Kemerovo,--,RUS,RUS,74,218,--,--,--,20192020,N,54,2,7,9
Chuck Kobasew,R,R,1982-04-17,Vancouver,BC,CAN,CAN,72,192,2001,1,14,20022003,N,240,32,24,56
David Koci,L,L,1981-05-12,Prague,--,CZE,CZE,78,238,2000,5,146,20062007,N,78,2,0,2
Slater Koekkoek,L,D,1994-02-18,Winchester,ON,CAN,CAN,74,193,2012,1,10,20142015,N,166,8,22,30
Dustin Kohn,L,D,1987-02-02,Edmonton,AB,CAN,CAN,73,200,2005,2,46,20092010,N,22,0,4,4
Ville Koistinen,L,D,1982-06-17,Oulu,--,FIN,FIN,71,187,--,--,--,20072008,N,17,1,3,4
Mikko Koivu,L,C,1983-03-12,Turku,--,FIN,FIN,75,213,2001,1,6,20052006,N,753,149,378,527
Saku Koivu,L,C,1974-11-23,Turku,--,FIN,FIN,70,181,1993,1,21,19951996,N,332,64,127,191
Otto Koivula,L,L,1998-09-01,Nokia,--,FIN,FIN,77,223,2016,4,120,20192020,N,12,0,0,0
Krys Kolanos,R,C,1981-07-27,Calgary,AB,CAN,CAN,74,195,2000,1,19,20012002,N,13,0,1,1
Chad Kolarik,R,C,1986-01-26,Abington,PA,USA,USA,71,178,2004,7,199,20092010,N,6,0,1,1
Keegan Kolesar,R,R,1997-04-08,Brandon,MB,CAN,CAN,74,217,2015,3,69,20192020,N,39,2,8,10
Leo Komarov,L,R,1987-01-23,Narva,--,EST,FIN,72,208,2006,6,180,20122013,N,488,63,105,168
Mike Komisarek,R,D,1982-01-19,West Islip,NY,USA,USA,76,235,2001,1,7,20022003,N,190,2,21,23
Matthew Konan,L,D,1991-09-03,Orange,CA,USA,USA,76,186,--,--,--,20122013,N,2,0,0,0
Travis Konecny,R,R,1997-03-11,London,ON,CAN,CAN,70,175,2015,1,24,20162017,N,345,93,124,217
Zenon Konopka,L,C,1981-01-02,Niagara on the Lake,ON,CAN,CAN,72,213,--,--,--,20052006,N,307,8,14,22
Tomas Kopecky,L,R,1982-02-05,Ilava,--,SVK,SVK,75,210,2000,2,38,20052006,N,395,56,86,142
Anze Kopitar,L,C,1987-08-24,Jesenice,--,SVN,SVN,75,225,2005,1,11,20062007,N,886,266,527,793
Dmitry Korobov,L,D,1989-03-12,Novopolotsk,--,BLR,BLR,75,230,--,--,--,20132014,N,3,0,1,1
Lauri Korpikoski,L,L,1986-07-28,Turku,--,FIN,FIN,73,193,2004,1,19,20082009,N,541,80,107,187
Egor Korshkov,L,R,1996-07-10,NOVOSIBIRSK,--,RUS,RUS,76,180,2016,2,31,20192020,N,1,1,0,1
Scott Kosmachuk,R,R,1994-01-24,Richmond Hill,ON,CAN,CAN,71,185,2012,3,70,20152016,N,8,0,3,3
Kalle Kossila,L,C,1993-04-14,Kauniainen,--,FIN,FIN,71,182,--,--,--,20162017,N,19,2,1,3
Klim Kostin,L,C,1999-05-05,Penza,--,RUS,RUS,75,212,2017,1,31,20192020,N,4,1,0,1
Andrei Kostitsyn,L,L,1985-02-03,Novopolotsk,--,BLR,BLR,72,214,2003,1,10,20052006,N,212,51,63,114
Sergei Kostitsyn,L,L,1987-03-20,Novopolotsk,--,BLR,BLR,72,196,2005,7,200,20072008,N,245,50,76,126
Michael Kostka,R,D,1985-11-28,Etobicoke,ON,CAN,CAN,73,210,--,--,--,20122013,N,85,4,17,21
Tom Kostopoulos,R,R,1979-01-24,Mississauga,ON,CAN,CAN,72,197,1999,7,204,20012002,N,254,21,31,52
Ales Kotalik,R,R,1978-12-23,Jindrichuv Hradec,--,CZE,CZE,73,225,1998,6,164,20012002,N,97,15,18,33
Jesperi Kotkaniemi,L,C,2000-07-06,Pori,--,FIN,FIN,74,201,2018,1,3,20182019,N,166,22,40,62
Ilya Kovalchuk,R,L,1983-04-15,Tver,--,RUS,RUS,75,222,2001,1,1,20012002,N,381,146,173,319
Alex Kovalev,L,R,1973-02-24,Togliatti,--,RUS,RUS,74,222,1991,1,15,19921993,N,165,36,52,88
Vyacheslav Kozlov,L,L,1972-05-03,Voskresensk,--,RUS,RUS,70,190,1990,3,45,19911992,N,55,8,18,26
Brandon Kozun,R,R,1990-03-08,Los Angeles,CA,USA,USA,68,167,2009,6,178,20142015,N,20,2,2,4
Lukas Krajicek,L,D,1983-03-11,Prostejov,--,CZE,CZE,75,205,2001,1,24,20012002,N,50,1,2,3
Vitali Kravtsov,L,R,1999-12-23,Vladivostok,--,RUS,RUS,75,189,2018,1,9,20202021,N,17,1,2,3
Chris Kreider,L,L,1991-04-30,Boxford,MA,USA,USA,75,217,2009,1,19,20122013,N,573,177,169,346
David Krejci,R,C,1986-04-28,Sternberk,--,CZE,CZE,72,188,2004,2,63,20062007,N,814,187,436,623
Kamil Kreps,R,C,1984-11-18,Litomerice,--,CZE,CZE,74,194,2003,2,38,20062007,N,76,5,9,14
Niklas Kronwall,L,D,1981-01-12,Stockholm,--,SWE,SWE,72,194,2000,1,29,20032004,N,693,67,243,310
Staffan Kronwall,L,D,1982-09-10,Järfälla,--,SWE,SWE,75,209,2002,9,285,20052006,N,11,1,2,3
Torey Krug,L,D,1991-04-12,Livonia,MI,USA,USA,69,186,--,--,--,20112012,N,571,68,298,366
Marcus Kruger,L,C,1990-05-27,Stockholm,--,SWE,SWE,72,186,2009,5,148,20102011,N,520,38,85,123
Filip Kuba,L,D,1976-12-29,Ostrava,--,CZE,CZE,76,225,1995,8,192,19981999,N,234,12,74,86
Dominik Kubalik,L,L,1995-08-21,Plzen,--,CZE,CZE,74,179,2013,7,191,20192020,N,120,47,34,81
Tomas Kubalik,R,R,1990-05-01,Plzen,--,CZE,CZE,74,212,2008,5,135,20102011,N,12,1,3,4
Pavel Kubina,R,D,1977-04-15,Celadna,--,CZE,CZE,76,258,1996,7,179,19971998,N,224,13,63,76
Nikita Kucherov,L,R,1993-06-17,Maykop,--,RUS,RUS,71,183,2011,2,58,20132014,N,515,221,326,547
Ryan Kuffner,L,L,1996-06-12,Ottawa,ON,CAN,CAN,73,186,--,--,--,20182019,N,10,0,0,0
Karson Kuhlman,R,C,1995-09-26,Esko,MN,USA,USA,70,190,--,--,--,20182019,N,53,6,7,13
Tom Kuhnhackl,L,R,1992-01-21,Landshut,--,DEU,DEU,74,190,2010,4,110,20152016,N,232,18,36,54
Dean Kukan,L,D,1993-07-08,Volketswil,--,CHE,CHE,74,186,--,--,--,20152016,N,111,2,17,19
Brett Kulak,L,D,1994-01-06,Edmonton,AB,CAN,CAN,73,192,2012,4,105,20142015,N,255,9,33,42
Arturs Kulda,L,D,1988-07-25,Riga,--,LVA,LVA,74,215,2006,7,200,20092010,N,15,0,2,2
Nikolay Kulemin,L,L,1986-07-14,Magnitogorsk,--,RUS,RUS,73,228,2006,2,44,20082009,N,596,106,137,243
Dmitry Kulikov,L,D,1990-10-29,Lipetsk,--,RUS,RUS,73,204,2009,1,14,20092010,N,719,35,137,172
Tomas Kundratek,R,D,1989-12-26,Prerov,--,CZE,CZE,74,201,2008,3,90,20112012,N,30,1,6,7
Luke Kunin,R,C,1997-12-04,Chesterfield,MO,USA,USA,72,197,2016,1,15,20172018,N,167,31,38,69
Chris Kunitz,L,L,1979-09-26,Regina,SK,CAN,CAN,72,188,--,--,--,20032004,N,687,180,229,409
Cody Kunyk,L,R,1990-05-20,Sherwood Park,AB,CAN,CAN,71,195,--,--,--,20132014,N,1,0,0,0
Janne Kuokkanen,L,L,1998-05-25,Oulunsalo,--,FIN,FIN,73,193,2016,2,43,20172018,N,58,7,17,24
Rasmus Kupari,R,C,2000-03-15,Kotka,--,FIN,FIN,73,183,2018,1,20,20202021,N,3,0,0,0
Sean Kuraly,L,C,1993-01-20,Dublin,OH,USA,USA,74,213,2011,5,133,20162017,N,266,23,44,67
Philipp Kurashev,L,C,1999-10-12,Munsingen,--,CHE,CHE,72,190,2018,4,120,20202021,N,50,8,7,15
Evgeny Kuznetsov,L,C,1992-05-19,Chelyabinsk,--,RUS,RUS,73,205,2010,1,26,20132014,N,520,129,289,418
Oliver Kylington,L,D,1997-05-19,Stockholm,--,SWE,SWE,72,183,2015,2,60,20152016,N,93,5,11,16
Jordan Kyrou,R,C,1998-05-05,Toronto,ON,CAN,CAN,72,195,2016,2,35,20182019,N,92,17,26,43
Milan Kytnar,L,C,1989-05-19,Topolcany,--,SVK,SVK,72,190,2007,5,127,20112012,N,1,0,0,0
Joel L'Esperance,R,C,1995-08-18,Brighton,MI,USA,USA,74,215,--,--,--,20182019,N,33,5,0,5
Teemu Laakso,R,D,1987-08-27,Tuusula,--,FIN,FIN,73,215,2005,3,78,20092010,N,17,0,0,0
Kevin Labanc,R,R,1995-12-12,Brooklyn,NY,USA,USA,71,185,2014,6,171,20162017,N,334,61,114,175
Joseph LaBate,L,C,1993-04-16,Burnsville,MN,USA,USA,77,210,2011,4,101,20162017,N,13,0,0,0
Pierre-Cedric Labrie,L,L,1986-12-06,Baie-Comeau,QC,CAN,CAN,75,226,--,--,--,20112012,N,46,2,3,5
Tanner Laczynski,R,C,1997-06-01,Minooka,IL,USA,USA,73,190,2016,6,169,20202021,N,5,0,0,0
Andrew Ladd,L,L,1985-12-12,Maple Ridge,BC,CAN,CAN,75,205,2004,1,4,20052006,N,711,203,224,427
Paul LaDue,R,D,1992-09-06,Grand Forks,ND,USA,USA,74,197,2012,6,181,20162017,N,69,5,13,18
Sam Lafferty,R,R,1995-03-06,Hollidaysburg,PA,USA,USA,73,195,2014,4,113,20192020,N,84,6,13,19
Alexis Lafrenière,L,L,2001-10-11,St-Eustache,QC,CAN,CAN,74,193,2020,1,1,20202021,N,53,10,9,19
William Lagesson,L,D,1996-02-22,Gothenburg,--,SWE,SWE,74,207,2014,4,91,20192020,N,25,0,2,2
Brooks Laich,L,C,1983-06-23,Wawota,SK,CAN,CAN,74,200,2001,6,193,20032004,N,461,75,127,202
Kellan Lain,L,L,1989-08-11,Oakville,ON,CAN,CAN,78,210,--,--,--,20132014,N,9,1,0,1
Patrik Laine,R,L,1998-04-19,TAMPERE,--,FIN,FIN,77,210,2016,1,2,20162017,N,348,150,118,268
Quintin Laing,L,L,1979-06-08,Harris,SK,CAN,CAN,75,193,1997,4,102,20032004,N,36,2,2,4
Maxime Lajoie,L,D,1997-11-05,Quebec City,QC,CAN,CAN,73,196,2016,5,133,20182019,N,62,7,8,15
David Laliberte,R,R,1986-03-17,Saint-Jean-sur-Richelieu,QC,CAN,CAN,73,194,2004,4,124,20092010,N,11,2,1,3
Shawn Lalonde,R,D,1990-03-10,Ottawa,ON,CAN,CAN,73,204,2008,3,68,20122013,N,1,0,0,0
Juho Lammikko,L,C,1996-01-29,Noormarkku,--,FIN,FIN,74,191,2014,3,65,20182019,N,83,3,6,9
Anton Lander,L,C,1991-04-24,Sundsvall,--,SWE,SWE,72,184,2009,2,40,20112012,N,215,10,25,35
Gabriel Landeskog,L,L,1992-11-23,Stockholm,--,SWE,SWE,73,215,2011,1,2,20112012,N,680,216,291,507
Robert Lang,R,C,1970-12-19,Teplice,--,CZE,CZE,75,217,1990,7,133,19921993,N,64,9,20,29
Jamie Langenbrunner,R,R,1975-07-24,Cloquet,MN,USA,USA,73,205,1993,2,35,19941995,N,225,34,84,118
Daymond Langkow,L,C,1976-09-27,Edmonton,AB,CAN,CAN,70,181,1995,1,5,19951996,N,149,25,43,68
Ian Laperriere,R,R,1974-01-19,Montreal,QC,CAN,CAN,73,200,1992,7,158,19931994,N,82,3,17,20
Maxim Lapierre,R,C,1985-03-29,Saint-Léonard,QC,CAN,CAN,74,215,2003,2,61,20052006,N,435,37,44,81
Nick Lappin,R,R,1992-11-01,Geneva,IL,USA,USA,73,175,--,--,--,20162017,N,60,5,3,8
Georges Laraque,R,R,1976-12-07,Montreal,QC,CAN,CAN,76,245,1995,2,31,19971998,N,28,1,2,3
Dylan Larkin,L,C,1996-07-30,Waterford,MI,USA,USA,73,198,2014,1,15,20152016,N,433,116,173,289
Drew Larman,R,C,1985-05-15,Buffalo,NY,USA,USA,75,195,--,--,--,20062007,N,4,0,0,0
Chad LaRose,R,R,1982-03-27,Fraser,MI,USA,USA,70,181,--,--,--,20052006,N,240,48,47,95
Philip Larsen,R,D,1989-12-07,Esbjerg,--,DNK,DNK,73,185,2008,5,149,20092010,N,151,9,28,37
Adam Larsson,R,D,1992-11-12,Skellefteå,--,SWE,SWE,75,208,2011,1,4,20112012,N,596,24,112,136
Jacob Larsson,L,D,1997-04-29,Ljungby,--,SWE,SWE,74,190,2015,1,27,20162017,N,155,3,20,23
Johan Larsson,L,L,1992-07-25,Lau,--,SWE,SWE,71,204,2010,2,56,20122013,N,443,46,65,111
Brian Lashoff,L,D,1990-07-16,Albany,NY,USA,USA,75,213,--,--,--,20122013,N,136,2,13,15
Matt Lashoff,L,D,1986-09-29,East Greenbush,NY,USA,USA,74,204,2005,1,22,20062007,N,16,0,1,1
Guillaume Latendresse,L,L,1987-05-24,Ste-Catherine,QC,CAN,CAN,74,230,2005,2,45,20062007,N,132,41,24,65
Michael Latta,R,C,1991-05-25,Kitchener,ON,CAN,CAN,72,207,2009,3,72,20132014,N,113,4,13,17
Scott Laughton,L,C,1994-05-30,Oakville,ON,CAN,CAN,73,190,2012,1,20,20122013,N,370,52,73,125
Oliver Lauridsen,L,D,1989-03-24,Gentofte,--,DNK,DNK,78,220,2009,7,195,20122013,N,16,2,1,3
Jeremy Lauzon,L,D,1997-04-28,Val-d'Or,QC,CAN,CAN,73,204,2015,2,52,20182019,N,72,3,8,11
Curtis Lazar,R,C,1995-02-02,Salmon Arm,BC,CAN,CAN,72,193,2013,1,17,20142015,N,329,26,47,73
Jay Leach,L,D,1979-09-02,Syracuse,NY,USA,USA,77,220,1998,5,115,20052006,N,42,1,1,2
Brett Lebda,L,D,1982-01-15,Buffalo Grove,IL,USA,USA,69,195,--,--,--,20052006,N,134,3,13,16
Drew LeBlanc,L,C,1989-06-29,Duluth,MN,USA,USA,72,194,--,--,--,20122013,N,2,0,0,0
Louis Leblanc,R,C,1991-01-26,Pointe-Claire,QC,CAN,CAN,72,188,2009,1,18,20112012,N,50,5,5,10
Peter LeBlanc,L,C,1988-02-03,Hamilton,ON,CAN,CAN,69,195,2006,7,186,20132014,N,1,0,0,0
Vincent Lecavalier,L,C,1980-04-21,Ile Bizard,QC,CAN,CAN,76,215,1998,1,1,19981999,N,425,119,161,280
Nick Leddy,L,D,1991-03-20,Eden Prairie,MN,USA,USA,72,207,2009,1,16,20102011,N,772,65,269,334
Anders Lee,L,L,1990-07-03,Edina,MN,USA,USA,75,235,2009,6,151,20122013,N,520,184,136,320
Brian Lee,R,D,1987-03-26,Moorhead,MN,USA,USA,75,200,2005,1,9,20072008,N,150,3,19,22
Guillaume Lefebvre,L,L,1981-05-07,Amos,QC,CAN,CAN,73,200,2000,7,227,20012002,N,1,0,0,0
David Legwand,L,C,1980-08-17,Detroit,MI,USA,USA,74,207,1998,1,2,19981999,N,514,87,162,249
Artturi Lehkonen,L,L,1995-07-04,Piikkio,--,FIN,FIN,71,178,2013,2,55,20162017,N,333,59,57,116
Jori Lehtera,L,C,1987-12-23,Helsinki,--,FIN,FIN,74,212,2008,3,65,20142015,N,307,34,77,111
Jere Lehtinen,R,R,1973-06-24,Espoo,--,FIN,FIN,72,194,1992,4,88,19951996,N,58,4,13,17
Mikko Lehtonen,L,D,1994-01-16,Turku,--,FIN,FIN,72,196,--,--,--,20202021,N,25,0,4,4
Mikko Lehtonen,R,R,1987-04-01,Espoo,--,FIN,FIN,75,196,2005,3,83,20082009,N,1,0,0,0
Taylor Leier,L,L,1994-02-15,Saskatoon,SK,CAN,CAN,71,180,2012,4,117,20152016,N,55,2,5,7
Ville Leino,L,L,1983-10-06,Savonlinna,--,FIN,FIN,73,182,--,--,--,20082009,N,273,35,75,110
Brendan Leipsic,L,L,1994-05-19,Winnipeg,MB,CAN,CAN,71,180,2012,3,89,20152016,N,187,16,43,59
Josh Leivo,R,L,1993-05-26,Innisfil,ON,CAN,CAN,74,192,2011,3,86,20132014,N,205,36,36,72
Brendan Lemieux,L,L,1996-03-15,Denver,CO,USA,USA,73,213,2014,2,31,20172018,N,173,22,24,46
John Leonard,L,L,1998-08-07,Westwood,NJ,USA,USA,71,183,2018,6,182,20202021,N,42,3,10,13
Jordan Leopold,L,D,1980-08-03,Golden Valley,MN,USA,USA,73,206,1999,2,44,20022003,N,340,38,67,105
Sami Lepisto,L,D,1984-10-17,Espoo,--,FIN,FIN,73,193,2004,3,66,20072008,N,162,6,24,30
Bryan Lerg,L,C,1986-01-20,Livonia,MI,USA,USA,70,175,--,--,--,20142015,N,8,1,0,1
Brett Lernout,R,D,1995-09-24,Winnipeg,MB,CAN,CAN,76,214,2014,3,73,20152016,N,21,0,1,1
Otto Leskinen,L,D,1997-02-06,Pieksämäki,--,FIN,FIN,71,187,--,--,--,20192020,N,6,0,0,0
Francis Lessard,R,R,1979-05-30,Montreal,QC,CAN,CAN,74,235,1997,3,80,20012002,N,24,0,0,0
Lucas Lessio,L,L,1993-01-23,Maple,ON,CAN,CAN,73,212,2011,2,56,20132014,N,41,3,4,7
Kris Letang,R,D,1987-04-24,Montreal,QC,CAN,CAN,72,201,2005,3,62,20062007,N,716,116,411,527
Mark Letestu,R,C,1985-02-04,Elk Point,AB,CAN,CAN,70,195,--,--,--,20092010,N,567,93,117,210
Pierre-Luc Letourneau-Leblond,L,R,1985-06-04,Levis,QC,CAN,CAN,73,218,2004,7,216,20082009,N,33,0,2,2
Vinni Lettieri,R,C,1995-02-06,Excelsior,MN,USA,USA,71,185,--,--,--,20172018,N,51,2,6,8
Maxim Letunov,L,C,1996-02-20,Moscow,--,RUS,RUS,76,180,2014,2,52,20192020,N,3,1,0,1
Tyler Lewington,R,D,1994-12-05,Edmonton,AB,CAN,CAN,74,200,2013,7,204,20182019,N,9,1,2,3
Trevor Lewis,R,C,1987-01-08,Salt Lake City,UT,USA,USA,73,202,2006,1,17,20082009,N,719,74,95,169
Mike Liambas,L,L,1989-02-16,Toronto,ON,CAN,CAN,70,195,--,--,--,20162017,N,8,0,1,1
Nicklas Lidstrom,L,D,1970-04-28,Vasteras,--,SWE,SWE,73,192,1989,3,53,19911992,Y,234,36,109,145
David Liffiton,L,D,1984-10-18,Windsor,ON,CAN,CAN,74,210,2003,2,63,20052006,N,4,1,0,1
John-Michael Liles,L,D,1980-11-25,Indianapolis,IN,USA,USA,70,185,2000,5,159,20032004,N,448,31,141,172
Andreas Lilja,L,D,1975-07-13,Helsingborg,--,SWE,SWE,75,220,2000,2,54,20002001,N,122,2,13,15
Jakob Lilja,L,L,1993-07-23,Malmo,--,SWE,SWE,73,196,--,--,--,20192020,N,37,2,3,5
Timothy Liljegren,R,D,1999-04-30,Kristianstad,--,SWE,SWE,72,198,2017,1,17,20192020,N,13,0,1,1
Kole Lind,R,R,1998-10-16,Swift Current,SK,CAN,CAN,73,178,2017,2,33,20202021,N,2,0,0,0
Oscar Lindberg,L,L,1991-10-29,Skellefteå,--,SWE,SWE,73,202,2010,2,57,20142015,N,252,39,40,79
Tobias Lindberg,L,R,1995-07-22,Stockholm,--,SWE,SWE,75,215,2013,4,102,20152016,N,6,0,2,2
Matt Lindblad,L,C,1990-03-23,Evanston,IL,USA,USA,71,193,--,--,--,20132014,N,4,0,0,0
Oskar Lindblom,L,L,1996-08-15,Gävle,--,SWE,SWE,73,191,2014,5,138,20172018,N,180,38,32,70
Petteri Lindbohm,L,D,1993-09-23,Helsinki,--,FIN,FIN,75,198,2012,6,176,20142015,N,40,2,1,3
Esa Lindell,L,D,1994-05-23,Vantaa,--,FIN,FIN,75,215,2012,3,74,20152016,N,360,32,84,116
Perttu Lindgren,L,C,1987-08-26,Tampere,--,FIN,FIN,72,188,2005,3,75,20092010,N,1,0,0,0
Ryan Lindgren,L,D,1998-02-11,Burnsville,MN,USA,USA,72,191,2016,2,49,20182019,N,116,2,28,30
Anton Lindholm,L,D,1994-11-29,Skellefteå,--,SWE,SWE,71,191,2014,5,144,20162017,N,66,0,5,5
Elias Lindholm,R,C,1994-12-02,Boden,--,SWE,SWE,73,195,2013,1,5,20132014,N,575,137,226,363
Hampus Lindholm,L,D,1994-01-20,Helsingborg,--,SWE,SWE,75,208,2012,1,6,20132014,N,520,52,147,199
Par Lindholm,L,C,1991-10-05,Kusmark,--,SWE,SWE,72,181,--,--,--,20182019,N,106,4,15,19
Gustav Lindstrom,R,D,1998-10-20,Ostervala,--,SWE,SWE,74,190,2017,2,38,20192020,N,27,0,4,4
Joakim Lindstrom,L,C,1983-12-05,Skellefteå,--,SWE,SWE,72,187,2002,2,41,20052006,N,69,6,9,15
Charles Linglet,L,L,1982-06-22,Montreal,QC,CAN,CAN,74,205,--,--,--,20092010,N,5,0,0,0
JC Lipon,R,R,1993-07-10,Regina,SK,CAN,CAN,72,183,2013,3,91,20152016,N,9,0,1,1
Enver Lisin,L,R,1986-04-22,Moscow,--,RUS,RUS,74,200,2004,2,50,20062007,N,57,6,8,14
Bryan Little,R,C,1987-11-12,Edmonton,AB,CAN,CAN,72,191,2006,1,12,20072008,N,716,180,274,454
Blake Lizotte,L,C,1997-12-13,Lindstrom,MN,USA,USA,67,172,--,--,--,20182019,N,107,9,24,33
Corey Locke,L,C,1984-05-08,Toronto,ON,CAN,CAN,69,175,2003,4,113,20072008,N,8,0,1,1
Andrei Loktionov,L,C,1990-05-30,Voskresensk,--,RUS,RUS,71,190,2008,5,123,20092010,N,155,22,26,48
